Politician,Ticker,Annualized Percentage Profit,Purchase Transaction IDs,Sell Transaction IDs,Total Purchase Amount,Total Sell Amount
Blake Moore,WYNN,0.0,[20003708948],"[20003708949, 20003699106, 20003699107]",75000.0,91000.0
Blake Moore,WYNN,0.0,"[20003699108, 20003699109, 20003689270, 20003689271]",[20003689272],32000.0,8000.0
Blake Moore,WYNN,0.0,"[20003689273, 20003689274]",[20003689275],16000.0,8000.0
Blake Moore,WYNN,0.0,"[20003670741, 20003670742]","[20003670743, 20003670744]",16000.0,16000.0
Blake Moore,WYNN,0.0,"[20003670745, 20003670746]","[20003670747, 20003670748]",16000.0,16000.0
Chris Jacobs,AGNC,0.0,[20003757766],[20003755777],8000.0,8000.0
Chris Jacobs,ATHA,0.0,[20003758542],[20003757768],8000.0,8000.0
Chris Jacobs,CIVI,0.0,[20003755784],[20003753248],8000.0,8000.0
Chris Jacobs,DOC,0.0,[20003758575],"[20003757787, 20003753270]",8000.0,16000.0
Chris Jacobs,FHN,0.0,[20003758558],[20003753254],8000.0,8000.0
Chris Jacobs,GEVO,0.0,[20003758559],"[20003757778, 20003753256]",8000.0,16000.0
Chris Jacobs,IIPR,0.0,[20003755787],[20003753258],8000.0,8000.0
Chris Jacobs,PR,0.0,[20003758573],"[20003753245, 20003750768]",8000.0,16000.0
Chris Jacobs,SAVA,0.0,[20003758548],[20003757773],8000.0,8000.0
Chris Jacobs,SAVA,0.0,[20003755782],[20003753244],8000.0,8000.0
Chris Jacobs,TELL,0.0,[20003758579],"[20003757793, 20003755793]",8000.0,16000.0
Chris Jacobs,TELL,0.0,[20003753276],[20003750797],8000.0,8000.0
Chris Jacobs,UEC,0.0,[20003757794],[20003750800],8000.0,32500.0
Chuck Fleischmann,CALF,0.0,[20003769242],[20003762998],8000.0,8000.0
Chuck Fleischmann,DKNG,0.0,[20003713212],[20003708746],8000.0,8000.0
Chuck Fleischmann,GLDM,0.0,[20003770938],[20003769236],8000.0,8000.0
Chuck Fleischmann,IBDP,0.0,"[20003770929, 20003751939]",[20003723686],16000.0,8000.0
Chuck Fleischmann,MDYG,0.0,"[20003763000, 20003755807]",[20003723695],16000.0,8000.0
Chuck Fleischmann,MDYG,0.0,"[20003707238, 20003672250]",[20001641568],16000.0,8000.0
Chuck Fleischmann,MDYV,0.0,[20003755808],[20003723696],32500.0,8000.0
Chuck Fleischmann,MDYV,0.0,"[20003707239, 20003672251]",[20001641569],16000.0,8000.0
Chuck Fleischmann,PDBC,0.0,[20003769245],"[20003762995, 20003755795, 20003751937]",8000.0,24000.0
Chuck Fleischmann,SLYG,0.0,"[20003770932, 20003769240]",[20003762999],40500.0,8000.0
Chuck Fleischmann,SLYG,0.0,[20003759030],"[20003755803, 20003751944, 20001641565]",8000.0,24000.0
Chuck Fleischmann,SPDW,0.0,[20003759029],"[20003751943, 20003723692]",32500.0,40500.0
Chuck Fleischmann,SPYG,0.0,[20003770933],[20003755805],8000.0,8000.0
Chuck Fleischmann,SPYG,0.0,[20003723693],"[20003713220, 20001641566]",8000.0,16000.0
Chuck Fleischmann,SPYV,0.0,[20003723694],[20003713221],8000.0,8000.0
Chuck Fleischmann,XLI,0.0,"[20003770936, 20003759036]",[20003713223],16000.0,8000.0
Chuck Fleischmann,XMHQ,0.0,[20003769244],[20003766620],8000.0,8000.0
Dan Crenshaw,FAS,0.0,[20003756612],[20003710041],8000.0,32500.0
Dan Crenshaw,SPY,0.0,[20003762359],[20003710808],8000.0,8000.0
Dan Crenshaw,TSLA,-248.35535561439053,"[20003707991, 20003707992, 20003707993]","[20003707994, 20003707995]",24000.0,16000.0
Dan Newhouse,BKNG,27.81180826067886,[20003763523],[20003763524],8000.0,8000.0
Dan Newhouse,DE,0.0,[20003772732],[20003763528],8000.0,8000.0
Dan Newhouse,LLY,38.74724162241013,[20003763531],[20003763532],8000.0,8000.0
Dan Newhouse,MPC,60.743108584476424,[20003763543],[20003763544],8000.0,8000.0
Dan Newhouse,NVDA,9.577164164028924,"[20003763550, 20003763551]",[20003763552],16000.0,8000.0
Daniel S. Goldman,AAPL,0.0,"[20003763202, 20003762056]",[20003759151],65000.0,32500.0
Daniel S. Goldman,ADM,0.0,[20003762057],[20003759153],75000.0,32500.0
Daniel S. Goldman,ALNY,0.0,[20003762045],[20003759146],32500.0,32500.0
Daniel S. Goldman,ALPMY,0.0,[20003761221],[20003759156],32500.0,8000.0
Daniel S. Goldman,AMT,0.0,[20003763199],"[20003762050, 20003762051]",32500.0,83000.0
