Politician,Ticker,Annualized Percentage Profit,Purchase Transaction IDs,Sell Transaction IDs,Total Purchase Amount,Total Sell Amount,Last Save ID,Last Sale ID,Transaction ID,Reporting Gap
Blake Moore,WYNN,87.4474770560434,"[20003670742, 20003670741]","[20003670747, 20003689275]",16000.0,16000.0,20003689275,20003689275,20003689275,17
Blake Moore,WYNN,-22.549074994277305,"[20003699109, 20003699108]","[20003699107, 20003699106, 20003708949]",16000.0,91000.0,20003708949,20003708949,20003708949,19
Bob Gibbs,F,36.08501041914819,[20003749061],[20003755520],8000.0,8000.0,20003755520,20003755520,20003755520,4
Bob Gibbs,QS,-837.495277325199,[20003707747],[20003707849],8000.0,8000.0,20003707849,20003707849,20003707849,4
Bob Gibbs,STM,35.91466838629312,"[20001643467, 20001643468, 20003707748]",[20003707850],24000.0,32500.0,20003707850,20003707850,20003707850,4
Brian Mast,SPCE,-98.37652053072414,"[20003672974, 20003672975]","[20003721206, 20003721207]",65000.0,16000.0,20003721207,20003721207,20003721207,21
Carol Miller,CORP,3.257723158330677,[20003757816],[20003769573],8000.0,8000.0,20003769573,20003769573,20003769573,9
Carol Miller,PARA,-28.650500665638365,[20003752247],[20003762309],32500.0,8000.0,20003762309,20003762309,20003762309,45
Carol Miller,SCHP,37.23157762976337,[20003757818],[20003758417],8000.0,175000.0,20003758417,20003758417,20003758417,33
Chris Jacobs,AGNC,-89.85023781478372,[20003750758],[20003755777],8000.0,8000.0,20003755777,20003755777,20003755777,40
Chris Jacobs,AR,9.888013729023356,[20003723720],[20003753241],8000.0,8000.0,20003753241,20003753241,20003753241,53
Chris Jacobs,ASB,17.461650718910846,[20003750761],[20003753242],8000.0,8000.0,20003753242,20003753242,20003753242,53
Chris Jacobs,ATHA,-30.52827004681042,[20003753243],[20003757768],8000.0,8000.0,20003757768,20003757768,20003757768,34
Chris Jacobs,AVXL,-107.55771527617544,[20003755779],[20003758540],8000.0,8000.0,20003758540,20003758540,20003758540,39
Chris Jacobs,BAC,-13.491501447380626,"[20003755780, 20003757770]",[20003758543],16000.0,8000.0,20003758543,20003758543,20003758543,39
Chris Jacobs,BCEL,-19.478653424057313,[20003750762],[20003757769],32500.0,8000.0,20003757769,20003757769,20003757769,34
Chris Jacobs,BLFS,-33.23462719345865,[20003757772],[20003758545],8000.0,8000.0,20003758545,20003758545,20003758545,39
Chris Jacobs,CIVI,-276.3334906052869,[20003750769],[20003753248],32500.0,8000.0,20003753248,20003753248,20003753248,53
Chris Jacobs,CIVI,-61.06286441039063,[20003755784],[20003758551],8000.0,8000.0,20003758551,20003758551,20003758551,39
Chris Jacobs,CPE,-77.89814914872257,[20003723721],[20003750766],8000.0,8000.0,20003750766,20003750766,20003750766,42
Chris Jacobs,CRGY,-13.03809875521551,[20003753249],[20003758555],8000.0,8000.0,20003758555,20003758555,20003758555,39
Chris Jacobs,CTRA,-20.69548693948975,[20003750770],[20003758554],32500.0,8000.0,20003758554,20003758554,20003758554,39
Chris Jacobs,CVX,13.733234174538564,"[20003753247, 20003755783, 20003757774]",[20003758549],24000.0,8000.0,20003758549,20003758549,20003758549,39
Chris Jacobs,DOC,2.1481776173572236,[20003750791],"[20003753270, 20003757787]",32500.0,16000.0,20003757787,20003757787,20003757787,34
Chris Jacobs,FHN,25.77949083642031,[20003750774],[20003753254],32500.0,8000.0,20003753254,20003753254,20003753254,53
Chris Jacobs,GEVO,-23.416188869276944,[20003750777],"[20003753256, 20003757778]",32500.0,16000.0,20003757778,20003757778,20003757778,34
Chris Jacobs,GNK,-148.4853711231057,"[20003750776, 20003750775]",[20003753255],40500.0,8000.0,20003753255,20003753255,20003753255,53
Chris Jacobs,HLX,-126.94288674566177,[20003757780],[20003758560],8000.0,8000.0,20003758560,20003758560,20003758560,39
Chris Jacobs,HP,-89.01540042073651,[20003757781],[20003758561],8000.0,8000.0,20003758561,20003758561,20003758561,39
